Timestamp;Value;Type
3:59:45 PM.490;LED1 (Green 1): OFF\r\n;received
3:59:45 PM.504;LED2 (Green 2): ON\r\n;received
3:59:45 PM.521;LED3 (Yellow): OFF\r\n;received
3:59:45 PM.537;LED4 (Red 1): OFF\r\n;received
3:59:45 PM.569;LED5 (Red 2): OFF\r\n;received
3:59:45 PM.585;--------------------\r\n;received
3:59:46 PM.594;Distance: 34 cm\r\n;received
3:59:46 PM.609;LED1 (Green 1): OFF\r\n;received
3:59:46 PM.641;LED2 (Green 2): ON\r\n;received
3:59:46 PM.657;LED3 (Yellow): OFF\r\n;received
3:59:46 PM.673;LED4 (Red 1): OFF\r\n;received
3:59:46 PM.689;LED5 (Red 2): OFF\r\n;received
3:59:46 PM.721;--------------------\r\n;received
3:59:47 PM.713;Distance: 36 cm\r\n;received
3:59:47 PM.745;LED1 (Green 1): OFF\r\n;received
3:59:47 PM.761;LED2 (Green 2): ON\r\n;received
3:59:47 PM.777;LED3 (Yellow): OFF\r\n;received
3:59:47 PM.809;LED4 (Red 1): OFF\r\n;received
3:59:47 PM.825;LED5 (Red 2): OFF\r\n;received
3:59:47 PM.840;--------------------\r\n;received
3:59:48 PM.850;Distance: 31 cm\r\n;received
3:59:48 PM.865;LED1 (Green 1): OFF\r\n;received
3:59:48 PM.898;LED2 (Green 2): ON\r\n;received
3:59:48 PM.912;LED3 (Yellow): OFF\r\n;received
3:59:48 PM.929;LED4 (Red 1): OFF\r\n;received
3:59:48 PM.945;LED5 (Red 2): OFF\r\n;received
3:59:48 PM.977;--------------------\r\n;received
3:59:49 PM.969;Distance: 32 cm\r\n;received
3:59:50 PM.1;LED1 (Green 1): OFF\r\n;received
3:59:50 PM.17;LED2 (Green 2): ON\r\n;received
3:59:50 PM.49;LED3 (Yellow): OFF\r\n;received
3:59:50 PM.65;LED4 (Red 1): OFF\r\n;received
3:59:50 PM.81;LED5 (Red 2): OFF\r\n;received
3:59:50 PM.97;--------------------\r\n;received
3:59:51 PM.105;Distance: 26 cm\r\n;received
3:59:51 PM.121;LED1 (Green 1): OFF\r\n;received
3:59:51 PM.153;LED2 (Green 2): OFF\r\n;received
3:59:51 PM.169;LED3 (Yellow): ON\r\n;received
3:59:51 PM.185;LED4 (Red 1): OFF\r\n;received
3:59:51 PM.217;LED5 (Red 2): OFF\r\n;received
3:59:51 PM.233;--------------------\r\n;received
3:59:52 PM.241;Distance: 26 cm\r\n;received
3:59:52 PM.257;LED1 (Green 1): OFF\r\n;received
3:59:52 PM.274;LED2 (Green 2): OFF\r\n;received
3:59:52 PM.305;LED3 (Yellow): ON\r\n;received
3:59:52 PM.321;LED4 (Red 1): OFF\r\n;received
3:59:52 PM.336;LED5 (Red 2): OFF\r\n;received
3:59:52 PM.353;--------------------\r\n;received
3:59:53 PM.361;Distance: 23 cm\r\n;received
3:59:53 PM.393;LED1 (Green 1): OFF\r\n;received
3:59:53 PM.409;LED2 (Green 2): OFF\r\n;received
3:59:53 PM.424;LED3 (Yellow): ON\r\n;received
3:59:53 PM.457;LED4 (Red 1): OFF\r\n;received
3:59:53 PM.473;LED5 (Red 2): OFF\r\n;received
3:59:53 PM.489;--------------------\r\n;received
3:59:54 PM.497;Distance: 20 cm\r\n;received
3:59:54 PM.514;LED1 (Green 1): OFF\r\n;received
3:59:54 PM.545;LED2 (Green 2): OFF\r\n;received
3:59:54 PM.562;LED3 (Yellow): OFF\r\n;received
3:59:54 PM.577;LED4 (Red 1): ON\r\n;received
3:59:54 PM.593;LED5 (Red 2): OFF\r\n;received
3:59:54 PM.625;--------------------\r\n;received
3:59:55 PM.617;Distance: 18 cm\r\n;received
3:59:55 PM.649;LED1 (Green 1): OFF\r\n;received
3:59:55 PM.665;LED2 (Green 2): OFF\r\n;received
3:59:55 PM.681;LED3 (Yellow): OFF\r\n;received
3:59:55 PM.713;LED4 (Red 1): ON\r\n;received
3:59:55 PM.729;LED5 (Red 2): OFF\r\n;received
3:59:55 PM.745;--------------------\r\n;received
3:59:56 PM.754;Distance: 0 cm\r\n;received
3:59:56 PM.785;LED1 (Green 1): OFF\r\n;received
3:59:56 PM.801;LED2 (Green 2): OFF\r\n;received
3:59:56 PM.817;LED3 (Yellow): OFF\r\n;received
3:59:56 PM.849;LED4 (Red 1): OFF\r\n;received
3:59:56 PM.865;LED5 (Red 2): ON\r\n;received
3:59:56 PM.881;--------------------\r\n;received
3:59:57 PM.890;Distance: 12 cm\r\n;received
3:59:57 PM.906;LED1 (Green 1): OFF\r\n;received
3:59:57 PM.938;LED2 (Green 2): OFF\r\n;received
3:59:57 PM.953;LED3 (Yellow): OFF\r\n;received
3:59:57 PM.969;LED4 (Red 1): ON\r\n;received
3:59:57 PM.984;LED5 (Red 2): OFF\r\n;received
3:59:58 PM.17;--------------------\r\n;received
3:59:59 PM.25;Distance: 0 cm\r\n;received
3:59:59 PM.41;LED1 (Green 1): OFF\r\n;received
3:59:59 PM.74;LED2 (Green 2): OFF\r\n;received
3:59:59 PM.89;LED3 (Yellow): OFF\r\n;received
3:59:59 PM.105;LED4 (Red 1): OFF\r\n;received
3:59:59 PM.137;LED5 (Red 2): ON\r\n;received
3:59:59 PM.153;--------------------\r\n;received
4:00:00 PM.161;Distance: 12 cm\r\n;received
4:00:00 PM.178;LED1 (Green 1): OFF\r\n;received
4:00:00 PM.193;LED2 (Green 2): OFF\r\n;received
4:00:00 PM.225;LED3 (Yellow): OFF\r\n;received
4:00:00 PM.241;LED4 (Red 1): ON\r\n;received
4:00:00 PM.257;LED5 (Red 2): OFF\r\n;received
4:00:00 PM.289;--------------------\r\n;received
4:00:01 PM.298;Distance: 0 cm\r\n;received
4:00:01 PM.314;LED1 (Green 1): OFF\r\n;received
4:00:01 PM.345;LED2 (Green 2): OFF\r\n;received
4:00:01 PM.361;LED3 (Yellow): OFF\r\n;received
4:00:01 PM.377;LED4 (Red 1): OFF\r\n;received
4:00:01 PM.393;LED5 (Red 2): ON\r\n;received
4:00:01 PM.426;--------------------\r\n;received
4:00:02 PM.418;Distance: 10 cm\r\n;received
4:00:02 PM.449;LED1 (Green 1): OFF\r\n;received
4:00:02 PM.465;LED2 (Green 2): OFF\r\n;received
4:00:02 PM.481;LED3 (Yellow): OFF\r\n;received
4:00:02 PM.513;LED4 (Red 1): OFF\r\n;received
4:00:02 PM.529;LED5 (Red 2): ON\r\n;received
4:00:02 PM.545;--------------------\r\n;received
4:00:03 PM.554;Distance: 17 cm\r\n;received
4:00:03 PM.570;LED1 (Green 1): OFF\r\n;received
4:00:03 PM.601;LED2 (Green 2): OFF\r\n;received
4:00:03 PM.617;LED3 (Yellow): OFF\r\n;received
4:00:03 PM.633;LED4 (Red 1): ON\r\n;received
4:00:03 PM.649;LED5 (Red 2): OFF\r\n;received
4:00:03 PM.681;--------------------\r\n;received
4:00:04 PM.673;Distance: 10 cm\r\n;received
4:00:04 PM.706;LED1 (Green 1): OFF\r\n;received
4:00:04 PM.722;LED2 (Green 2): OFF\r\n;received
