timestamp,x,y,z
2024-09-04 11:06:47.875540,-0.12,-0.67,-0.24
2024-09-04 11:06:49.190672,-0.55,-1.04,-0.73
2024-09-04 11:06:49.903501,-0.06,-0.61,-0.37
2024-09-04 11:06:50.963279,-0.24,-0.79,-0.37
2024-09-04 11:06:51.901736,-0.37,-0.85,-0.73
2024-09-04 11:06:52.947676,0.0,-0.67,-0.24
2024-09-04 11:06:53.899291,-0.31,-0.79,-0.49
2024-09-04 11:06:55.043259,-0.31,-0.85,-0.55
2024-09-04 11:06:55.938354,-0.18,-0.79,-0.37
2024-09-04 11:06:57.069115,-0.18,-0.73,-0.37
2024-09-04 11:06:58.094029,-0.37,-0.92,-0.55
2024-09-04 11:06:59.526344,-0.31,-0.85,-0.61
2024-09-04 11:07:00.084200,-0.24,-0.79,-0.43
2024-09-04 11:07:00.968662,-0.37,-0.92,-0.55
2024-09-04 11:07:01.983768,-0.31,-0.85,-0.55
2024-09-04 11:07:02.995925,-0.61,-1.04,-0.79
2024-09-04 11:07:03.991578,0.24,-0.49,-0.06
2024-09-04 11:07:05.158077,-0.18,-0.73,-0.37
2024-09-04 11:07:06.182578,-0.49,-0.98,-0.79
2024-09-04 11:07:07.206022,-0.31,-0.85,-0.55
2024-09-04 11:07:08.127616,-0.18,-0.73,-0.43
2024-09-04 11:07:09.151901,-0.43,-0.92,-0.61
2024-09-04 11:07:10.175652,-0.85,-1.34,-1.22
2024-09-04 11:07:11.200622,0.49,-0.24,0.31
2024-09-04 11:07:12.019948,0.18,-0.49,0.18
2024-09-04 11:07:13.026207,-0.43,-0.92,-0.73
2024-09-04 11:07:14.050992,-0.67,-1.16,-0.98
2024-09-04 11:07:15.406806,0.0,-0.61,-0.24
2024-09-04 11:07:16.217163,-0.31,-0.85,-0.43
2024-09-04 11:07:17.241155,-0.37,-0.85,-0.61
2024-09-04 11:07:18.163086,-0.31,-0.85,-0.61
2024-09-04 11:07:19.289049,-0.49,-1.04,-0.73
2024-09-04 11:07:20.210681,0.06,-0.49,-0.12
2024-09-04 11:07:21.336958,-0.55,-1.04,-0.85
2024-09-04 11:07:22.159877,-0.18,-0.73,-0.55
2024-09-04 11:07:23.117686,-0.49,-0.98,-0.67
2024-09-04 11:07:24.306566,-0.12,-0.73,-0.43
2024-09-04 11:07:25.236880,-0.12,-0.73,-0.31
2024-09-04 11:07:26.084383,-0.61,-1.1,-0.79
2024-09-04 11:07:27.285221,-0.31,-0.85,-0.61
2024-09-04 11:07:28.105581,-0.18,-0.79,-0.31
2024-09-04 11:07:29.221508,-0.18,-0.73,-0.43
2024-09-04 11:07:30.347951,-0.31,-0.85,-0.55
2024-09-04 11:07:31.679075,-0.49,-1.04,-0.67
2024-09-04 11:07:32.192581,-0.18,-0.73,-0.43
2024-09-04 11:07:33.216818,-0.24,-0.73,-0.37
2024-09-04 11:07:34.343888,-0.37,-0.92,-0.67
2024-09-04 11:07:35.264560,-0.31,-0.92,-0.55
2024-09-04 11:07:36.184990,-0.18,-0.79,-0.43
2024-09-04 11:07:37.313427,-0.24,-0.79,-0.49
2024-09-04 11:07:38.159058,-0.24,-0.79,-0.37
2024-09-04 11:07:39.299083,-0.24,-0.85,-0.55
2024-09-04 11:07:40.264469,-0.31,-0.79,-0.49
2024-09-04 11:07:41.344641,-0.24,-0.79,-0.49
2024-09-04 11:07:42.177983,-0.31,-0.92,-0.55
2024-09-04 11:07:43.250584,-0.37,-0.85,-0.61
2024-09-04 11:07:44.179445,-0.37,-0.92,-0.55
2024-09-04 11:07:45.198793,-0.18,-0.73,-0.43
2024-09-04 11:07:46.322156,-0.37,-0.92,-0.61
2024-09-04 11:07:47.858079,-0.24,-0.79,-0.49
2024-09-04 11:07:48.371643,-0.24,-0.79,-0.49
2024-09-04 11:07:49.394942,-0.24,-0.79,-0.43
2024-09-04 11:07:50.315679,-0.24,-0.85,-0.49
2024-09-04 11:07:51.219261,-0.31,-0.79,-0.49
2024-09-04 11:07:52.270835,-0.18,-0.79,-0.37
2024-09-04 11:07:53.411196,-0.37,-0.92,-0.61
2024-09-04 11:07:54.310371,-0.31,-0.85,-0.61
2024-09-04 11:07:55.317651,-0.12,-0.67,-0.31
2024-09-04 11:07:56.358306,-0.18,-0.73,-0.37
2024-09-04 11:07:57.383394,-0.31,-0.85,-0.55
2024-09-04 11:07:58.407644,-0.31,-0.85,-0.55
2024-09-04 11:07:59.293475,-0.18,-0.73,-0.37
2024-09-04 11:08:00.350527,-0.24,-0.85,-0.49
2024-09-04 11:08:01.283210,-0.24,-0.79,-0.49
2024-09-04 11:08:02.305190,-0.24,-0.79,-0.49
2024-09-04 11:08:03.745519,-0.24,-0.79,-0.43
2024-09-04 11:08:04.414129,-0.24,-0.79,-0.49
2024-09-04 11:08:05.470556,-0.24,-0.79,-0.55
2024-09-04 11:08:06.337066,-0.06,-0.61,-0.31
2024-09-04 11:08:07.403395,-0.31,-0.85,-0.49
2024-09-04 11:08:08.440042,-0.31,-0.85,-0.61
2024-09-04 11:08:09.566477,-0.12,-0.67,-0.31
2024-09-04 11:08:10.487859,-0.12,-0.73,-0.37
2024-09-04 11:08:11.411038,-0.37,-0.85,-0.55
2024-09-04 11:08:12.338848,-0.31,-0.85,-0.55
2024-09-04 11:08:13.358455,-0.12,-0.67,-0.37
2024-09-04 11:08:14.371978,-0.18,-0.79,-0.43
2024-09-04 11:08:15.609073,-0.24,-0.79,-0.43
2024-09-04 11:08:16.529664,-0.31,-0.85,-0.49
2024-09-04 11:08:17.557614,-0.24,-0.79,-0.55
2024-09-04 11:08:18.409758,-0.24,-0.79,-0.49
2024-09-04 11:08:20.113837,-0.18,-0.73,-0.43
2024-09-04 11:08:20.447180,-0.24,-0.73,-0.43
2024-09-04 11:08:21.547750,-0.18,-0.79,-0.55
2024-09-04 11:08:22.417786,-0.24,-0.79,-0.49
2024-09-04 11:08:23.521347,-0.24,-0.85,-0.49
2024-09-04 11:08:24.619017,-0.18,-0.73,-0.37
2024-09-04 11:08:25.441911,-0.24,-0.85,-0.43
2024-09-04 11:08:26.769201,-0.31,-0.79,-0.55
2024-09-04 11:08:27.454310,-0.06,-0.67,-0.31
2024-09-04 11:08:28.511967,-0.24,-0.85,-0.49
2024-09-04 11:08:29.448677,-0.31,-0.79,-0.61
2024-09-04 11:08:30.456363,-0.24,-0.79,-0.49
2024-09-04 11:08:31.684716,-0.24,-0.79,-0.43
2024-09-04 11:08:32.460573,-0.24,-0.79,-0.43
2024-09-04 11:08:33.530221,-0.31,-0.85,-0.55
2024-09-04 11:08:34.656816,-0.06,-0.67,-0.31
