#group,false,false,false,false
#datatype,dateTime:RFC3339,double,double,double
#default,,,,
,time,x,y,z
,2024-09-04T10:54:49.91761Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:50.939386Z,-0.18,-0.67,-0.43
,2024-09-04T10:54:51.923369Z,-0.24,-0.79,-0.49
,2024-09-04T10:54:52.917048Z,-0.37,-0.85,-0.49
,2024-09-04T10:54:53.935634Z,-0.18,-0.79,-0.43
,2024-09-04T10:54:55.264539Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:55.937836Z,-0.18,-0.79,-0.43
,2024-09-04T10:54:56.949169Z,-0.24,-0.79,-0.43
,2024-09-04T10:54:57.93379Z,-0.37,-0.79,-0.43
,2024-09-04T10:54:58.954424Z,-0.31,-0.79,-0.43
,2024-09-04T10:54:59.958387Z,-0.43,-0.79,-0.49
,2024-09-04T10:55:01.072701Z,-0.06,-0.73,-0.43
,2024-09-04T10:55:01.980642Z,-0.24,-0.79,-0.43
,2024-09-04T10:55:02.976857Z,-0.24,-0.79,-0.43
,2024-09-04T10:55:04.274408Z,-0.24,-0.79,-0.43
,2024-09-04T10:55:04.99311Z,-0.37,-0.79,-0.43
,2024-09-04T10:55:06.003132Z,-0.31,-0.79,-0.49
,2024-09-04T10:55:07.039828Z,-0.31,-0.85,-0.49
,2024-09-04T10:55:07.994204Z,-0.31,-0.79,-0.43
,2024-09-04T10:55:08.994434Z,-0.24,-0.79,-0.43
